Date,Open,High,Low,Close,Adj Close,Volume
24-Nov-23,190.87,190.9,189.25,189.97,189.97,"24,048,300"
22-Nov-23,191.49,192.93,190.83,191.31,191.31,"39,617,700"
21-Nov-23,191.41,191.52,189.74,190.64,190.64,"38,134,500"
20-Nov-23,189.89,191.91,189.88,191.45,191.45,"46,505,100"
17-Nov-23,190.25,190.38,188.57,189.69,189.69,"50,922,700"
16-Nov-23,189.57,190.96,188.65,189.71,189.71,"54,412,900"
15-Nov-23,187.85,189.5,187.78,188.01,188.01,"53,790,500"
14-Nov-23,187.7,188.11,186.3,187.44,187.44,"60,108,400"
13-Nov-23,185.82,186.03,184.21,184.8,184.8,"43,627,500"
10-Nov-23,183.97,186.57,183.53,186.4,186.4,"66,133,400"
9-Nov-23,182.96,184.12,181.81,182.41,182.17,"53,763,500"
8-Nov-23,182.35,183.45,181.59,182.89,182.65,"49,340,300"
7-Nov-23,179.18,182.44,178.97,181.82,181.58,"70,530,000"
6-Nov-23,176.38,179.43,176.21,179.23,178.99,"63,841,300"
3-Nov-23,174.24,176.82,173.35,176.65,176.42,"79,763,700"
2-Nov-23,175.52,177.78,175.46,177.57,177.34,"77,334,800"
1-Nov-23,171,174.23,170.12,173.97,173.74,"56,934,900"
31-Oct-23,169.35,170.9,167.9,170.77,170.55,"44,846,000"
30-Oct-23,169.02,171.17,168.87,170.29,170.07,"51,131,000"
27-Oct-23,166.91,168.96,166.83,168.22,168,"58,499,100"
26-Oct-23,170.37,171.38,165.67,166.89,166.67,"70,625,300"
25-Oct-23,171.88,173.06,170.65,171.1,170.87,"57,157,000"
24-Oct-23,173.05,173.67,171.45,173.44,173.21,"43,816,600"
23-Oct-23,170.91,174.01,169.93,173,172.77,"55,980,100"
20-Oct-23,175.31,175.42,172.64,172.88,172.65,"64,189,300"
19-Oct-23,176.04,177.84,175.19,175.46,175.23,"59,302,900"
18-Oct-23,175.58,177.58,175.11,175.84,175.61,"54,764,400"
17-Oct-23,176.65,178.42,174.8,177.15,176.92,"57,549,400"
16-Oct-23,176.75,179.08,176.51,178.72,178.48,"52,517,000"
13-Oct-23,181.42,181.93,178.14,178.85,178.61,"51,427,100"
12-Oct-23,180.07,182.34,179.04,180.71,180.47,"56,743,100"
11-Oct-23,178.2,179.85,177.6,179.8,179.56,"47,551,100"
10-Oct-23,178.1,179.72,177.95,178.39,178.16,"43,698,000"
9-Oct-23,176.81,179.05,175.8,178.99,178.75,"42,390,800"
6-Oct-23,173.8,177.99,173.18,177.49,177.26,"57,224,100"
5-Oct-23,173.79,175.45,172.68,174.91,174.68,"48,527,900"
4-Oct-23,171.09,174.21,170.97,173.66,173.43,"53,020,300"
3-Oct-23,172.26,173.63,170.82,172.4,172.17,"49,594,600"
2-Oct-23,171.22,174.3,170.93,173.75,173.52,"52,164,500"
29-Sep-23,172.02,173.07,170.34,171.21,170.98,"51,814,200"
28-Sep-23,169.34,172.03,167.62,170.69,170.47,"56,294,400"
27-Sep-23,172.62,173.04,169.05,170.43,170.21,"66,921,800"
26-Sep-23,174.82,175.2,171.66,171.96,171.73,"64,588,900"
25-Sep-23,174.2,176.97,174.15,176.08,175.85,"46,172,700"
22-Sep-23,174.67,177.08,174.05,174.79,174.56,"56,725,400"
21-Sep-23,174.55,176.3,173.86,173.93,173.7,"63,047,900"
20-Sep-23,179.26,179.7,175.4,175.49,175.26,"58,436,200"
19-Sep-23,177.52,179.63,177.13,179.07,178.83,"51,826,900"
18-Sep-23,176.48,179.38,176.17,177.97,177.74,"67,257,600"
15-Sep-23,176.48,176.5,173.82,175.01,174.78,"109,205,100"
14-Sep-23,174,176.1,173.58,175.74,175.51,"60,895,800"
13-Sep-23,176.51,177.3,173.98,174.21,173.98,"84,267,900"
12-Sep-23,179.49,180.13,174.82,176.3,176.07,"90,370,200"
11-Sep-23,180.07,180.3,177.34,179.36,179.12,"58,953,100"
8-Sep-23,178.35,180.24,177.79,178.18,177.95,"65,551,300"
7-Sep-23,175.18,178.21,173.54,177.56,177.33,"112,488,800"
6-Sep-23,188.4,188.85,181.47,182.91,182.67,"81,755,800"
5-Sep-23,188.28,189.98,187.61,189.7,189.45,"45,280,000"
1-Sep-23,189.49,189.92,188.28,189.46,189.21,"45,732,600"
31-Aug-23,187.84,189.12,187.48,187.87,187.62,"60,794,500"
30-Aug-23,184.94,187.85,184.74,187.65,187.4,"60,813,900"
29-Aug-23,179.7,184.9,179.5,184.12,183.88,"53,003,900"
28-Aug-23,180.09,180.59,178.55,180.19,179.95,"43,820,700"
25-Aug-23,177.38,179.15,175.82,178.61,178.38,"51,449,600"
24-Aug-23,180.67,181.1,176.01,176.38,176.15,"54,945,800"
23-Aug-23,178.52,181.55,178.33,181.12,180.88,"52,722,800"
22-Aug-23,177.06,177.68,176.25,177.23,177,"42,084,200"
21-Aug-23,175.07,176.13,173.74,175.84,175.61,"46,311,900"
18-Aug-23,172.3,175.1,171.96,174.49,174.26,"61,114,200"
17-Aug-23,177.14,177.51,173.48,174,173.77,"66,062,900"
16-Aug-23,177.13,178.54,176.5,176.57,176.34,"46,964,900"
15-Aug-23,178.88,179.48,177.05,177.45,177.22,"43,622,600"
14-Aug-23,177.97,179.69,177.31,179.46,179.22,"43,675,600"
11-Aug-23,177.32,178.62,176.55,177.79,177.56,"51,988,100"
10-Aug-23,179.48,180.75,177.6,177.97,177.5,"54,686,900"
9-Aug-23,180.87,180.93,177.01,178.19,177.72,"60,378,500"
8-Aug-23,179.69,180.27,177.58,179.8,179.32,"67,823,000"
7-Aug-23,182.13,183.13,177.35,178.85,178.37,"97,576,100"
4-Aug-23,185.52,187.38,181.92,181.99,181.51,"115,799,700"
3-Aug-23,191.57,192.37,190.69,191.17,190.66,"61,235,200"
2-Aug-23,195.04,195.18,191.85,192.58,192.07,"50,389,300"
